latitude,longitude,scan,track,confidence,frp,daynight,Class,source
58.72518,-118.29165,0.4,0.37,100,6.24,0,1,0
58.8286,-118.0265,2.1,1.4,6,14.2,0,0,1
58.3359,-120.7032,1.9,1.3,100,68.5,0,0,1
58.3243,-119.4316,2.0,1.4,100,102.3,0,1,1
58.74555,-119.99943,0.39,0.36,66,0.94,0,1,0
58.6176,-121.0055,2.5,1.5,43,38.2,0,1,1
61.1383,-121.0343,1.4,1.2,99,41.7,0,0,1
59.27338,-113.67838,0.36,0.58,66,22.21,1,0,0
59.68913,-114.34407,0.4,0.6,66,5.74,0,1,0
57.54864,-120.43979,0.45,0.47,66,3.15,0,0,0
58.7201,-121.2057,1.8,1.3,88,37.7,0,0,1
