latitude,longitude,bright_ti4,scan,track,acq_time,satellite,confidence,bright_ti5,frp,daynight,Class
58.77416,-120.46865,299.17,0.49,0.49,1118,0,1,281.74,1.32,0,0
58.68389,-120.47137,298.91,0.49,0.49,1118,0,1,280.99,1.55,0,0
57.08459,-100.26092,328.29,0.38,0.43,937,0,1,290.64,5.03,0,0
57.07869,-100.27295,323.13,0.38,0.43,937,0,1,282.61,1.52,0,0
58.2186,-118.69275,316.58,0.39,0.44,938,0,1,288.14,4.45,0,0
58.81015,-118.01244,304.09,0.57,0.43,938,0,1,288.33,1.91,0,0
60.39259,-118.09008,306.67,0.4,0.44,937,0,1,281.22,1.77,0,0
58.98985,-120.531,296.58,0.48,0.48,1118,0,1,282.53,0.67,0,0
58.76273,-120.16718,298.27,0.45,0.47,938,0,1,281.3,0.98,0,0
57.08146,-100.25677,320.64,0.34,0.56,757,0,1,284.41,9.83,0,0
58.82368,-118.02862,301.77,0.57,0.43,938,0,1,286.89,3.06,0,0
55.95779,-125.17949,306.17,0.33,0.55,939,0,1,278.77,1.12,0,0
59.39119,-123.2491,295.74,0.39,0.44,1118,0,1,276.52,1.43,0,0
58.70835,-120.48502,307.01,0.49,0.49,1118,0,1,281.35,2.31,0,0
58.54493,-120.72954,306.27,0.49,0.49,1118,0,1,282.67,3.04,0,0
58.81804,-118.05938,342.16,0.38,0.43,938,0,1,287.21,5.54,0,0
58.8058,-118.20828,299.87,0.58,0.52,1118,0,1,287.45,1.43,0,0
58.83675,-118.12595,304.21,0.58,0.52,1118,0,1,286.73,2.25,0,0
60.02109,-110.98997,296.41,0.4,0.37,937,0,1,286.35,0.77,0,0
58.80466,-118.1862,320.56,0.58,0.52,1118,0,1,288.02,6.4,0,0
58.82958,-118.15768,302.69,0.58,0.52,1118,0,1,286.51,1.69,0,0
58.82559,-118.15289,305.34,0.39,0.44,938,0,1,288.19,2.19,0,0
58.69828,-120.48576,311.86,0.49,0.49,1118,0,1,281.38,2.28,0,0
58.8171,-118.17191,315.63,0.58,0.52,1118,0,1,287.09,5.23,0,0
58.74763,-120.15905,313.86,0.45,0.47,938,0,1,282.67,2.64,0,0
59.97637,-113.82943,305.58,0.35,0.57,1117,0,1,287.85,1.15,0,0
58.13392,-118.60775,348.93,0.39,0.44,938,0,1,296.54,6.52,0,0
57.07698,-100.26274,355.67,0.43,0.38,1929,0,1,307.95,25.33,1,0
58.85726,-120.47389,304.51,0.46,0.47,938,0,1,278.61,2.63,0,0
58.02067,-119.64819,299.95,0.55,0.51,1118,0,1,281.21,1.6,0,0
58.81656,-118.02261,298.83,0.58,0.52,1118,0,1,284.68,2.19,0,0
59.74995,-112.51212,300.15,0.42,0.38,937,0,1,285.3,1.42,0,0
59.75036,-112.50538,309.84,0.42,0.38,937,0,1,286.85,1.45,0,0
58.7253,-121.14355,295.48,0.48,0.48,938,0,1,284.3,0.79,0,0
57.95108,-121.54953,296.33,0.49,0.49,938,0,1,284.02,0.71,0,0
57.09158,-100.2442,349.25,0.34,0.56,757,0,1,297.57,6.54,0,0
58.8354,-118.12243,327.33,0.38,0.44,938,0,1,277.21,4.36,0,0
58.12665,-118.55807,323.75,0.6,0.53,1118,0,1,290.0,4.23,0,0
58.7887,-117.99881,300.76,0.57,0.43,938,0,1,287.32,2.62,0,0
57.09385,-100.27725,355.68,0.45,0.63,1749,0,1,294.77,16.52,1,0
57.75475,-120.82326,296.05,0.52,0.5,1119,0,1,283.41,5.53,0,0
58.82532,-118.04858,311.34,0.57,0.43,938,0,1,284.66,1.9,0,0
58.63915,-120.50582,310.87,0.5,0.49,1118,0,1,279.87,4.02,0,0
